"Datum","Tijd","Tijdzone","Naam","Type","Status","Valuta","Bedrag","Kosten","Totaal","Wisselkoers","Ontvangstbewijsreferentie","Saldo","Transactiereferentie","Objecttitel"
"08-05-2025","15:53:21","CEST","Sony Interactive Entertainment Network Europe Limited","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-24,99","0,00","-24,99",,"","-24,99","03579512LT697213N",""
"08-05-2025","15:53:21","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","24,99","0,00","24,99",,"","0,00","9KJ03909XK1851121",""
"08-05-2025","18:55:11","CEST","Customer Service - Epoch","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-23,93","0,00","-23,93",,"","-23,93","6A876574EH138962B",""
"08-05-2025","18:55:11","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","23,93","0,00","23,93",,"","0,00","7TR99459VJ597804Y",""
"09-05-2025","10:20:30","CEST","Microsoft Payments","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-11,99","0,00","-11,99",,"","-11,99","0ST84429EU874022L",""
"09-05-2025","10:20:30","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","11,99","0,00","11,99",,"","0,00","69Y032208W192581D",""
"09-05-2025","11:35:58","CEST","Headphones","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","USD","-3,78","0,00","-3,78",,"","-3,78","1PW990981A404642P",""
"09-05-2025","11:35:58","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","3,51","0,00","3,51",,"","3,51","0RK135956Y6359412",""
"09-05-2025","11:35:58","CEST","","Algemene valutaomrekening","Voltooid","EUR","-3,51","0,00","-3,51",1.076172063918862,"","0,00","09983179WB649621J",""
"09-05-2025","11:35:58","CEST","","Algemene valutaomrekening","Voltooid","USD","3,78","0,00","3,78",,"","0,00","6CF08139KF709171P",""
"12-05-2025","11:24:24","CEST","Plex, Inc.","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-5,99","0,00","-5,99",,"","-5,99","92926910B8476425V",""
"12-05-2025","11:24:24","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","5,99","0,00","5,99",,"","0,00","7E4999002P642674H",""
"23-05-2025","12:35:46","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-2,99","0,00","-2,99",,"","-2,99","31X342668E536615P",""
"23-05-2025","12:35:46","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","2,99","0,00","2,99",,"","0,00","4C8702930J141893J",""
"27-05-2025","16:01:34","CEST","Patreon Ireland Limited","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-12,71","0,00","-12,71",,"","-12,71","79K26390NM246750K",""
"27-05-2025","16:01:34","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","12,71","0,00","12,71",,"","0,00","6B7863202M6761210",""
"02-06-2025","21:53:59","CEST","Meta Platforms Technologies Ireland Limited","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-29,99","0,00","-29,99",,"","-29,99","40605214SF869180L",""
"02-06-2025","21:53:59","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","29,99","0,00","29,99",,"","0,00","39N6055619619151J",""
"03-06-2025","16:26:23","CEST","Segpay.com","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-22,06","0,00","-22,06",,"","-22,06","3E205700R1064862H",""
"03-06-2025","16:26:23","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","22,06","0,00","22,06",,"","0,00","9CU85427447207500",""
